row	word	verdicts	sweep_s	first_in_list	rc	diverged	platform	tree	wall_s
internal/coverage/slicereader	PASS	1	28	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	28
internal/dag	PASS	6	27	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27
internal/fmtsort	PASS	3	28	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	28
internal/fuzz	PASS	52	45	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	45
internal/godebugs	PASS	1	140	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	140
internal/platform	PASS	1	35	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	35
internal/reflectlite	PASS	30	36	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	36
internal/runtime/math	PASS	1	26	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26
internal/saferio	PASS	17	27	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27
internal/singleflight	PASS	5	29	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29
internal/sync	BUILD	NOMATCH	29	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29
internal/sysinfo	PASS	1	27	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27
internal/xcoff	PASS	3	32	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	32
io/fs	PASS	18	32	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	32
io/ioutil	PASS	28	29	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29
iter	PASS	28	26	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26
log/slog/internal/benchmarks	PASS	3	33	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	33
log/slog/internal/buffer	PASS	1	31	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	31
math/cmplx	PASS	24	31	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	31
math/rand/v2	PASS	36	52	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	52
mime/quotedprintable	PASS	5	33	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	33
net/http/cgi	PASS	38	106	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	106
net/http/fcgi	PASS	12	58	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	58
net/http/httptest	PASS	55	55	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	55
net/http/httputil	PASS	53	62	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	62
net/netip	PASS	211	37	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	37
net/smtp	PASS	20	48	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	48
net/textproto	PASS	26	29	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29
os/exec/internal/fdtest	PASS	1	24	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	24
os/signal	PASS	1	32	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	32
plugin	PASS	1	23	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	23
regexp	PASS	45	384	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	384
regexp/syntax	PASS	12	31	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	31
runtime	BUILD	NOMATCH	265	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	265
runtime/debug	PASS	4	30	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	30
runtime/metrics	PASS	2	30	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	30
strconv	PASS	55	34	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	34
strings	PASS	69	43	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	43
sync	BUILD	NOMATCH	29	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29
testing/iotest	PASS	18	136	1	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	136
text/scanner	PASS	18	29	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29
text/template	PASS	52	63	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	63
text/template/parse	PASS	52	33	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	33
unicode	PASS	28	25	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
unique	BUILD	NOMATCH	20	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	20
archive/zip	PASS	100	44	1	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	44
crypto/dsa	PASS	4	51	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	51
crypto/internal/fips140/mlkem	PASS	10	13	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	13
crypto/mlkem	BUILD	NOMATCH	13	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	13
go/doc/comment	PASS	10059	23	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	23
go/parser	PASS	176	139	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	139
go/types	PASS	574	128	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	128
hash/maphash	BUILD	NOMATCH	23	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	23
index/suffixarray	PASS	12	96	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	96
internal/syscall/windows	PASS	3	15	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	15
internal/syscall/windows/registry	PASS	6	15	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	15
net	NOVERDICT	NOMATCH	3792	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	3792
sync/atomic	PASS	108	92	0	0	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	92
time	CONVERT	NOMATCH	2	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	2
archive/tar	PASS	98	128	1	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	128
bufio	PASS	80	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
bytes	PASS	83	29	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29
cmp	PASS	4	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22
compress/lzw	PASS	17	23	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	23
container/heap	PASS	7	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22
context	PASS	57	41	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	41
crypto	PASS	6	53	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	53
crypto/cipher	PASS	27272	62	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	62
crypto/ecdsa	PASS	77	57	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	57
crypto/ed25519	PASS	9	34	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	34
crypto/elliptic	PASS	82	27	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27
crypto/hmac	PASS	172	31	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	31
crypto/internal/boring	PASS	3	23	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	23
crypto/internal/boring/bcache	PASS	1	30	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	30
crypto/internal/fips140/bigmod	PASS	79	26	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26
crypto/internal/fips140/ecdsa	PASS	10	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
crypto/internal/fips140/edwards25519/field	PASS	16	47	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	47
crypto/internal/fips140deps	PASS	1	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22
crypto/internal/hpke	PASS	19	29	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29
crypto/internal/sysrand	PASS	6	38	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	38
crypto/rand	DIVERGED	315	46	0	1	1	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	46
crypto/rsa	PASS	568	86	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	86
crypto/sha1	PASS	12	26	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26
crypto/sha256	PASS	22	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
crypto/sha3	BUILD	NOMATCH	25	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
database/sql/driver	PASS	1	21	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	21
debug/buildinfo	PASS	211	48	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	48
debug/dwarf	PASS	40	30	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	30
debug/gosym	PASS	10	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
debug/pe	PASS	10	37	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	37
encoding/ascii85	PASS	9	19	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	19
encoding/asn1	PASS	40	24	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	24
encoding/base64	PASS	17	20	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	20
encoding/binary	PASS	140	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22
encoding/gob	PASS	106	56	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	56
encoding/json	BUILD	NOMATCH	102	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	102
encoding/pem	PASS	18	23	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	23
encoding/xml	PASS	387	53	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	53
errors	PASS	61	21	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	21
go/build	PASS	57	39	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	39
go/build/constraint	PASS	89	20	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	20
go/format	PASS	4	26	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26
go/importer	PASS	3	62	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	62
go/internal/gccgoimporter	PASS	4	30	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	30
go/internal/gcimporter	PASS	621	337	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	337
go/internal/srcimporter	PASS	7	34	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	34
go/token	PASS	31	24	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	24
hash	PASS	18	27	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27
hash/crc64	PASS	5	20	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	20
html	PASS	3	21	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	21
html/template	PASS	243	50	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	50
image	PASS	8	32	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	32
image/color	PASS	10	19	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	19
image/jpeg	PASS	14	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
internal/abi	PASS	1	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
internal/copyright	PASS	1	24	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	24
internal/coverage/cformat	PASS	2	21	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	21
internal/coverage/pods	PASS	1	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22
internal/coverage/slicewriter	PASS	1	20	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	20
internal/coverage/test	PASS	6	27	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27
internal/cpu	PASS	8	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22
internal/diff	PASS	13	23	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	23
internal/gover	PASS	5	19	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	19
internal/itoa	PASS	3	20	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	20
internal/pkgbits	PASS	2	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
internal/poll	PASS	19	36	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	36
internal/profile	PASS	1	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
internal/runtime/maps	DIVERGED	111	100	0	1	108	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	100
internal/runtime/sys	PASS	4	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22
internal/synctest	BUILD	NOMATCH	18	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	18
internal/testenv	PASS	7	26	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26
internal/trace/internal/oldtrace	PASS	3	30	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	30
internal/types/errors	PASS	155	84	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	84
internal/zstd	PASS	536	28	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	28
io	PASS	60	28	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	28
log	PASS	8	21	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	21
log/slog	DIVERGED	197	119	0	1	1	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	119
maps	PASS	14	19	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	19
math	PASS	76	23	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	23
math/big	PASS	230	58	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	58
math/bits	PASS	26	21	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	21
mime	PASS	17	23	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	23
net/http/cookiejar	PASS	17	94	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	94
net/http/httptrace	PASS	2	35	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	35
net/http/internal	PASS	14	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22
net/http/internal/ascii	PASS	13	21	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	21
net/internal/cgotest	PASS	1	18	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	18
net/mail	PASS	11	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
net/rpc	PASS	15	53	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	53
net/rpc/jsonrpc	PASS	9	47	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	47
net/url	PASS	49	26	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26
os	PASS	1103	78	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	78
os/exec	PASS	116	223	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	223
path	PASS	9	20	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	20
path/filepath	PASS	61	29	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29
reflect	DIVERGED	414	86	0	1	226	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	86
runtime/internal/wasitest	PASS	1	21	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	21
slices	PASS	120	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25
sort	PASS	63	27	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27
testing/fstest	PASS	7	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22
testing/quick	PASS	8	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22
testing/slogtest	PASS	17	27	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27
text/tabwriter	PASS	3	20	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	20
unicode/utf16	PASS	8	21	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	21
